1 11605.5
2 21989.6
3 32707.7
4 43181.6
5 46519.7
6 55582.3
7 52710.8
8 60405.5
9 44251.4
10 49184.9
11 50174.7
12 56487.4
13 55199.4
14 59847.4
15 57472.3
16 60369.7
